University,Overall,Rank,Citation,Fac_Stud,Int_Fac,Acad_Rep,Emp_Rep,Int_Stud
University of Indonesia,37.7,358,,43.6,38.7,50.5,61.3,
University of Kent,37.6,360,,,94.8,,,89.1
University of Southern Denmark,37.5,361,,47,73.5,,,54.6
Aix-Marseille University,37.5,361,,,,58.3,,44.8
Washington State University,37.5,361,40.6,,67.1,39.1,,
Kobe University,37.5,361,,65.2,,38.4,,
Northeastern University,37.4,365,47.1,,35.7,,49,88.7
Leibniz UniversitÃ¤t Hannover,37.2,366,91.8,,,,41.1,
University of Coimbra,37.1,367,37.2,,,44,,
University of Pisa,37.1,367,,,,59.4,,
UniversitÃ© Paris Dauphine,36.9,369,,,43.3,35.6,80,86
University of Utah,36.9,369,68.5,45,,,,
L.N. Gumilyov Eurasian National University,36.8,371,,99.9,,,,
"Stony Brook University, State University of New York",36.7,372,49.4,50.5,,,,84.6
Lincoln University,36.6,373,38.9,70.6,81.7,,,88.3
American University,36.6,373,,43.3,,34.9,70,38.3
Johannes Gutenberg UniversitÃ¤t Mainz,36.5,375,,49.2,37.3,36.4,,
National Taiwan Normal University,36.4,376,,53.3,,40.5,,56.5
UniversitÃ© de Montpellier,36.4,376,45.1,,,45.2,,40.1
National Technical University of Athens,36.4,376,59,,,33,64.4,
University of Tasmania,36.2,379,42.5,,85.1,,,79
National Sun Yat-sen University,36.2,379,69.4,,,32.7,,
Brandeis University,36.1,381,63.4,,,,40.6,75.7
UniversitÃ¤t Jena,36.1,381,,70.1,,,,
Beihang University (former BUAA),36.1,381,58.5,51.8,,,,
University of Stirling,36,384,62.2,,71.5,,,67.8
UniversitÃ¤t Leipzig,36,384,63.1,,,41,,
Yeshiva University,36,384,64.3,97.8,,,,
Institut National des Sciences AppliquÃ©es de Lyon (INSA),35.9,387,,59.5,41,,68.7,84.1
UniversitÃ© Paris Descartes,35.9,387,45.1,,,37.8,,46.6
James Cook University,35.9,387,48.7,,91.4,,,45.5
